back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,knee_knee_dis,label
153.9,148.4,156.7,150.8,81.7,81.1,103.8,111.5,1.7,0
154,147.6,155.9,150.8,81.1,81.2,103.9,111.6,1.7,0
153.8,147.3,154.9,150.6,80.4,81.2,104.2,112,1.7,0
153.7,147,154.6,150.2,80.4,81.2,104.4,112.4,1.7,0
153.9,146.7,154.5,149.6,80.2,81.3,104.3,113,1.7,0
153.7,146.8,154.2,149.3,80,81.3,104.5,113.2,1.7,0
153.4,146.6,153.7,149,79.4,81.3,104.7,113.3,1.7,0
153.2,146.6,153.4,148.5,78.8,81.3,104.8,113.5,1.7,0
152.8,146.1,152.9,147.6,78.6,81.1,105,114.1,1.7,0
152.1,145.8,151.8,146.8,78.2,80.5,105.8,114.3,1.7,0
151.3,145.2,151,145.9,78,80.1,106.4,114.8,1.7,0
150.6,144.7,150,144.9,77.9,79.5,107.1,115.4,1.7,0
149.7,144.2,148.7,144.1,77.4,79,108,115.7,1.8,0
149,143.6,147.9,143.1,77.4,78.3,108.5,116.3,1.8,0
148.1,143.7,146.5,142.5,76.8,77.9,109.3,116.4,1.8,0
147.6,143.4,145.9,142.1,76.6,77.7,109.9,116.4,1.8,0
147.1,143.3,145,141.3,75.9,77.4,110.3,116.7,1.8,0
146.3,143,144.2,140.7,75.7,77.1,110.7,117.1,1.8,0
145.6,142.7,142.9,140,75.2,76.5,111.2,117.5,1.8,0
144.4,142.5,141.5,139.1,74.4,76.3,112.1,118,1.9,0
143.5,142.1,139.8,138.1,73.7,75.7,112.7,118.8,1.9,0
142.7,141.7,138.4,136.8,72.8,75.2,113.4,119.5,1.9,0
142,141.3,137.6,135.3,72.5,74.6,114,120.2,1.9,0
141.5,141,136.8,134.4,72.1,74.3,114.5,120.7,1.9,0
141.2,141,136.2,134,71.8,73.9,114.7,120.8,1.9,0
140.5,140.7,135.5,133.6,71.6,74,115.2,121.1,1.9,0
140,140.1,134.9,132.9,71.4,73.7,115.6,121.8,1.9,0
139.5,139.6,134.5,132.5,71.5,73.7,116,122.2,1.9,0
139.3,139.4,134.2,132.5,71.6,73.5,116.3,122.2,1.9,0
138.8,139,133.7,132,71.6,73.3,116.7,122.4,1.9,0
138.2,138.5,133.2,131.4,71.5,73.1,117.3,122.7,1.9,1
137.8,138,133,130.9,71.4,73.2,117.8,123,1.9,1
137.2,137.2,132.4,130,71.3,73.2,118.2,123.8,1.9,1
136.8,135.9,131.8,128.7,70.9,73,118.4,125,1.9,1
136.3,134.7,131.1,127.4,70.4,72.7,118.7,125.8,1.9,1
136,134,130.5,126.4,70.1,72.4,119,126.5,1.9,1
135.5,133.2,129.8,125.7,69.9,72.2,119.6,127,1.9,1
135,133,128.7,125.3,69.3,71.9,120,127.2,1.9,1
134.3,132.1,127.1,124.3,68.4,71.7,120.7,128.1,1.9,1
133.7,131.1,126.1,123.3,68.1,71.7,121.2,129.2,1.9,1
132.7,130.3,125,122,67.8,71.4,122.2,130,1.9,1
130.6,129.1,123.4,120.5,67.8,71.4,124,131.4,1.9,1
128.9,127.8,121.7,119.2,67.5,71.3,125.8,132.1,1.9,1
127.2,126,119.9,117.5,67.2,71.3,127.5,133.6,1.9,1
124.8,124.1,117.8,115.8,67.2,71.5,130,135.1,1.9,1
123,121.9,115.9,113.9,67.1,71.4,132.1,136.7,1.9,1
122.4,121.1,115.2,113.6,67.1,71.5,132.6,137.2,1.9,1
121.7,120.4,114.7,113.3,67.2,71.6,133.2,137.7,1.9,1
121,119.7,114,112.6,67.3,71.5,133.9,138.3,1.9,1
119.7,117.8,112.9,110.6,67.6,71.4,135.4,140.3,1.9,1
119.3,115.9,113.6,109.1,68.8,71.6,135.6,142.1,1.9,1
117.7,113.8,112.2,107.1,69.1,71.7,137.2,144.3,1.9,1
116.6,112.2,111.2,106.3,69.5,72,138.5,145.4,1.9,1
114.5,109.9,109.6,104.2,70,72.2,140.9,147.6,1.9,1
109.7,106.1,105.7,100.6,70.7,72.8,145.7,151.5,1.9,1
106,103.7,102.5,98.4,70.8,73.1,149.2,153.8,1.9,1
100.3,99.8,97.4,95.1,71.3,73.9,154.7,157.9,1.9,1
93,95.5,90.5,91.2,71.3,74.9,161.9,162.6,1.9,1
90.5,94.3,87.9,90.8,71,75.7,164.4,163.6,1.8,1
88.8,92.5,86.2,89.3,70.9,75.8,165.8,165.5,1.9,1
86.4,90.8,83.7,88.1,71,76.1,168.4,166.8,1.8,2
83.1,88.1,80.7,85.5,71.3,76,171.8,169.4,1.8,2
80.7,86.5,78.3,84.1,71.5,75.9,174.7,170.3,1.8,2
78.3,84.2,75.9,81.7,71.3,75.6,176.6,172.7,1.9,2
73.4,80.1,70.6,77.4,70.9,75.4,178.7,176.9,1.9,2
72.1,79.3,68.9,76.4,70.2,75.2,177.6,177.7,1.9,2
70.2,77.5,66.9,74.7,69.5,75.3,176.3,179.6,1.9,2
68.4,75.1,65.2,72.2,69.8,75.2,174.8,177.7,1.9,2
66.3,71.9,62.8,69.1,69.6,75,172.9,174.4,2,2
65.6,71.7,61.8,68.8,69.2,74.7,172,174.7,2,2
66.1,73.2,62.3,69.9,68.8,74.1,172.4,176.8,2,2
63.3,70.7,59.4,67.2,68.8,73.8,169.5,174.6,2,2
59.6,68.2,55.6,64.4,68.7,73.6,165.2,172.5,2,2
57.6,67,53.8,62.8,68.7,73.1,163.1,171.6,2,2
54.9,65.7,51,61.1,68.7,72.5,159.7,171.1,2,2
53.1,65.2,49.4,59.7,68.8,71.9,157.7,170.7,2.1,2
52.4,64.8,48.6,58.8,68.6,71.2,157.1,170.6,2.1,2
50.9,63.7,47.2,57.3,68.6,70.8,155.6,169.6,2.1,2
50.5,63.6,46.9,57.2,68.6,70.8,155.1,169.5,2.1,2
49.1,62.8,45.4,56.1,68.7,70.6,153.3,168.8,2.1,2
49.1,62.5,45.2,55.5,68.6,70.6,153.3,168.2,2.1,2
49,62.1,44.8,55.2,68.6,70.7,153,167.8,2.1,2
49.4,62.5,45.1,55.6,68.5,70.7,153.4,168.1,2.1,2
49.9,63.1,45.1,55.9,68.4,70.7,153.7,168.3,2.1,2
53.2,65.9,48.1,58.2,68.2,70.6,157.2,170.2,2.1,2
61.3,73.7,56.4,65.6,67.8,70.7,166.1,177.3,2.1,2
66.8,78.4,62,70.5,67.8,71.4,171.9,178.6,2,2
70.3,84.2,65.6,75.6,67.4,71.9,175.4,173.5,2,2
75.2,88.3,70.4,79.8,67.3,72,179.6,169.6,2,2
78.9,92.1,74.3,83.6,67.4,72.2,175.7,166,2,2
83.6,95,79.2,86.9,67.8,72.4,170.8,163.3,2,2
88,97.7,84.2,89.7,69.1,72.5,167.2,160.4,1.9,2
92,100.6,88.8,92.7,69.9,72.5,163.7,157.4,1.9,2
100.1,104.4,96.4,96.6,70.4,72,156.1,153.3,1.9,2
104.8,106.7,100.9,99.1,70.9,71.9,151.7,151.2,1.9,2
108.4,109.1,104.1,101.5,70.9,71.9,148.3,148.8,1.9,2
112.2,111.6,107.8,104.1,71,71.8,144.5,146.4,1.9,2
118.3,115.6,113.2,108.5,70.5,71.6,138,142.4,1.9,2
121.1,118.6,116,111.4,70.4,71.7,135.2,139.5,1.9,2
122.9,121.8,118.3,114.9,70.1,72.2,132.7,136.3,1.9,2
125.7,124.7,120.8,117.7,69.8,71.6,129.5,133.4,1.9,2
127.2,127,121.6,119.5,69.2,71.5,127.7,131.9,1.9,2
129.7,129.1,124.1,121.6,69.5,71.7,125.1,130.4,1.9,2
131,130.9,126,123.6,70,72.1,124,128.5,1.9,2
132.2,133.5,126.2,126.8,69.2,72.5,122.7,126,1.9,2
133.1,134.7,126.9,128.5,69.2,73,121.9,124.9,1.9,2
133.9,135.1,127.6,130.2,69.7,73.6,121.2,124.2,1.8,2
134.4,135.4,128.1,130.8,70.1,73.7,120.9,124,1.8,2
135.1,136.3,128.7,131.9,70.2,73.7,120.2,123,1.8,2
135.5,136.5,128.8,132.5,70.4,73.5,119.9,122.8,1.9,2
135.9,137.2,129.3,133.1,70.2,73.9,119.3,122.4,1.9,2
136.3,137.5,129.9,133.5,70.3,74.2,118.9,122.1,1.9,2
137.1,138.1,130.5,134.2,70.3,74.2,118.5,121.3,1.9,2
137.8,138.6,131,134.9,70.2,74.4,118,120.6,1.8,2
138.6,138.9,131.5,135.3,70.1,74.4,117.7,119.9,1.9,2
139.3,139.7,132.1,136.1,69.9,74.5,117,119.2,1.9,2
140,140.4,132.8,137,70,74.6,116.3,118.5,1.9,2
140.6,141.3,133.5,138.2,70.1,75,115.8,117.6,1.8,2
141.2,142.3,134.8,140,70.7,75.8,115.2,116.5,1.8,2
141.5,143.4,136.2,141.6,71.2,76.9,114.7,115.6,1.8,2
142,144.3,137.3,142.6,71.7,77.1,114.1,114.9,1.8,1
142.3,145.1,139.2,144.2,73,77.9,113.4,114.2,1.8,1
142.8,145.8,140.6,145.3,73.8,78.4,112.6,113.6,1.8,1
143.3,146.4,141.6,146.5,74.4,79,112.4,113,1.8,1
143.8,146.9,143.1,147.6,75.1,79.9,111.6,112.7,1.8,1
144,147.6,144,149,75.5,81,111.2,112.3,1.7,1
144.5,148.1,144.8,150.1,76,81.3,110.7,111.7,1.7,1
145.1,148.3,145.5,150.7,76.3,81.4,110.1,111.5,1.7,1
145.9,148.5,146.3,151.6,76.9,81.7,109.6,111.1,1.7,1
146.4,148.8,147.1,152.3,77.3,81.8,108.9,110.9,1.7,1
146.9,149.1,147.7,152.8,77.8,81.9,108.4,110.8,1.7,1
147,149.4,148.2,153.3,77.8,82.4,108,110.7,1.7,1
147,149.5,148.8,153.5,78,82.8,107.8,110.6,1.7,1
147.5,149.8,149.6,154,78.5,83,107.6,110.3,1.7,1
148,150.3,150.5,155,79.2,83.3,107.3,109.7,1.7,1
148.1,150.5,151.7,155.7,79.9,83.9,107.1,109.4,1.7,1
148.6,150.8,153.1,156.3,80.4,84.7,106.6,109.1,1.6,1
148.8,151.2,154.4,156.9,80.6,85.8,106.3,108.9,1.6,1
149.5,151.6,156.1,157.3,81.1,86.4,105.7,108.4,1.6,1
150.1,151.7,157.2,157.7,82,86.3,105,108.3,1.6,1
150.8,151.6,158.3,157.9,82.5,86.4,104.6,108.1,1.6,1
151.2,152.1,159.5,158.9,82.7,87.4,104.2,107.5,1.6,1
151.6,152.3,160.2,159.4,83.3,87.5,104.1,107.1,1.6,1
152.6,151.8,161.2,160.3,84.7,87.2,103.7,106.7,1.6,1
153.3,152.5,161.6,161.7,84.8,87.7,103.1,106.1,1.5,1
153.8,153.2,161.7,163,84.7,88.3,102.7,105.5,1.5,1
154,153.6,161.9,164,84.7,88.7,102.4,105.1,1.5,1
154.3,153.9,162.3,164.5,84.8,89,102.3,104.8,1.5,1
154.5,154.1,162.7,165,85.3,89.1,102.1,104.5,1.5,1
154.6,154.2,162.9,165.2,85.4,89.2,102.1,104.4,1.5,1
154.8,154.3,163.1,165.4,85.3,89.4,102.1,104.2,1.5,0
154.8,154.6,163.2,166,85.2,90,102,103.9,1.5,0
154.8,154.7,163.4,166.6,85,90.6,101.8,103.7,1.5,0
154.9,154.7,163.4,166.9,84.8,90.9,101.8,103.6,1.5,0
155.1,154.5,163.5,166.9,84.9,90.9,101.7,103.7,1.5,0
155.2,154.4,163.7,167.3,84.9,91.4,101.7,103.6,1.5,0
155.3,154.2,164,167.3,85.2,91.5,101.7,103.6,1.5,0
155.4,154.2,164.2,167.4,85.4,91.3,101.7,103.4,1.5,0
155.6,154.2,164.6,167.4,85.6,91.3,101.5,103.4,1.5,0
156.1,153.9,165.3,167.3,85.9,91.3,101.1,103.4,1.4,0
156.4,153.8,165.8,167.3,86.2,91.2,100.8,103.5,1.4,0
156.7,153.7,166.1,167.2,86.3,91.1,100.6,103.6,1.4,0
156.9,153.5,166.1,167.1,86.4,90.9,100.5,103.7,1.4,0
156.9,153.2,165.9,166.7,86.4,90.6,100.4,104,1.4,0
156,152.7,164,165.9,85.4,90.3,101.3,104.5,1.5,0
155,152.6,163.1,165,85,89.7,101.9,104.8,1.5,0
154,151.9,161.6,162.9,84.4,88.5,102.6,105.8,1.5,0
152.6,151.3,159.4,161.1,83.5,87.5,104,106.5,1.5,0
151.4,151,157.5,160.1,82.4,87.1,105.2,106.7,1.6,0
150.5,150.7,156,159.5,81.3,87.1,106.1,106.7,1.6,0
149.9,150.1,155.4,158.5,81,86.7,106.7,107.1,1.6,0
149.3,149.7,155,157.9,81.2,86.2,107.2,107.4,1.6,0
148.7,149.3,154.4,157,81.4,85.5,107.5,108,1.6,0
147.8,148.9,153.9,156.1,81.6,85,108,108.6,1.6,0
147.5,148.7,153.7,155.5,81.5,84.7,107.9,109.1,1.6,0
147.3,148.5,153.5,155.1,81.1,84.6,107.9,109.2,1.6,0
147.5,148.2,153.4,154.3,80.9,84.1,107.6,109.6,1.7,0
147.5,147.8,153.5,153.5,80.7,83.8,107.3,110.2,1.7,0
147.4,147.2,153.3,152.4,80.4,83.4,107.1,111.1,1.7,0
147.2,147,152.9,151.7,80.2,83.2,107.3,111.5,1.7,0
147.1,146.9,152.7,151.3,79.8,83.1,107.6,111.4,1.7,0
146.9,147.1,152.1,150.9,79.2,82.7,107.9,111.1,1.7,0
146.8,146.8,151.5,150.2,79.1,82.2,108.1,111.5,1.7,0
146.3,146.6,150.7,149.7,78.5,82.1,108.2,111.9,1.7,0
145.9,146.2,150.1,148.9,78.1,81.8,108.6,112.2,1.7,0
145.7,145.5,149.5,147.7,77.9,80.9,108.7,112.9,1.7,0
145.4,144.9,149.1,147,77.9,80.5,108.8,113.4,1.7,0
145.3,144.3,148.8,146.2,78,79.9,108.9,114.1,1.7,0
144.9,143.7,148.2,145.2,77.8,79.2,109.1,114.5,1.7,0
144.7,143.4,147.7,144.6,77.5,78.8,109.2,114.7,1.7,0
144.2,142.9,147,143.7,77.1,78.3,109.5,115.3,1.8,0
142.8,142.5,145.1,142.8,76.2,77.8,110.6,115.5,1.8,0
142.1,142.2,144.5,141.9,75.8,77.6,110.9,116.1,1.8,0
141.7,141.6,143.7,141,75.5,77,111.2,116.7,1.8,0
141.6,141.4,143.6,140.8,75.4,77,111,117,1.8,0
141.6,141,143.3,140.6,75.6,76.4,111,117.1,1.8,0
141.4,140.3,142.6,140,75.6,75.9,111.6,117.4,1.8,0
141.5,139.7,142.3,139.5,75.7,75.5,111.6,117.8,1.8,0
141.5,139.3,141.9,139.2,75.7,75.3,111.9,118.1,1.8,0
141.2,138.9,141.3,138.7,75.5,75.3,112.4,118.3,1.8,0
140.5,138.6,140.4,138.1,75,75.2,113,118.6,1.8,0
139.7,138.2,139.2,137.7,74.6,75,113.8,118.9,1.8,0
138.9,138.5,138.1,137.4,73.6,75.1,114.7,118.6,1.8,0
138.4,138.1,137.7,137,73.6,75.1,115.2,118.8,1.8,0
138.1,137.7,137.5,136.6,73.6,75.1,115.4,119.2,1.8,0
138,137.3,137.7,136.4,73.9,75.2,115.4,119.5,1.8,0
137.7,136.9,137.4,136.1,73.9,75.1,115.8,119.7,1.8,0
137.3,136.3,136.8,135.3,73.7,75,116.2,120.3,1.8,0
136.8,136.3,136.2,135,73.3,75.1,116.8,120.4,1.8,0
136,136,135.4,134.3,73,74.9,117.5,120.7,1.8,0
135.3,135.2,134.6,133,72.9,74.6,118.2,121.6,1.8,1
135.2,134.6,134.1,132.2,72.6,74.2,118.1,122.4,1.8,1
134.9,134.5,133.4,131.6,72.4,73.6,118.5,122.6,1.9,1
134.1,135,132.2,131.3,71.8,73.3,118.9,122.7,1.9,1
133.8,134.7,131.5,130.5,71.4,72.9,119.5,122.8,1.9,1
133.7,134.4,130.6,129.9,71,72.3,120.1,122.7,1.9,1
133.2,133.9,129.4,129.1,70.4,71.9,120.7,123.2,1.9,1
132.8,133.1,128.1,127.6,69.8,71.3,121.3,124,1.9,1
132,131.4,127.3,126.1,70.3,71,122.3,125.7,1.9,1
131.1,130.8,126.2,125.3,70,71,123,126.4,1.9,1
129.8,129.9,124.9,123.9,69.9,70.6,124.4,127.3,1.9,1
128.2,129,123.3,122.6,69.5,70.6,125.9,128.2,1.9,1
126.1,127.8,121.3,121.1,69.2,70.8,128.3,129.4,1.9,1
124.3,126.6,119.8,119.7,69.1,70.9,129.8,130.7,1.9,1
122.3,124.7,117.8,117.9,69.1,70.9,132.4,132,1.9,1
121.2,123.9,116.6,117.2,68.9,70.8,133.5,132.5,1.9,1
120.6,122.8,116.2,116.2,69,70.7,133.7,133.7,1.9,1
119.5,121.3,115.2,114.8,69.2,70.7,134.8,135.1,1.9,1
119.3,120.8,114.8,114.3,68.9,70.5,135,135.3,1.9,1
118,119.9,113.5,113.2,68.8,70.5,136.4,136.2,1.9,1
117.3,119,112.8,112.2,68.7,70.5,136.9,137.2,1.9,1
115.8,117.3,111.4,110.6,68.8,70.5,138.5,138.8,1.9,1
114.6,115.1,110.3,108.6,69,70.6,139.7,141.1,1.9,1
112.8,112.7,109,106.7,69.5,71.1,141.6,143.4,1.9,1
109.8,109.7,106.3,104,69.8,71.6,144.9,146.2,1.9,1
107.1,106.9,104.2,101.5,70.3,71.9,147.4,149.1,1.9,1
105.2,104.6,102.3,99.5,70.4,71.9,149.3,151.1,1.9,1
100.7,100.4,98,95.8,70.9,72.4,154.2,155.3,1.9,1
97.6,97.9,94.9,93.4,70.8,72.5,157.3,157.7,1.9,1
92.5,93.7,89.9,89.9,71,73.4,162.2,162.3,1.9,1
87.6,89.6,85.6,86.4,71.5,74,166.7,166.7,1.9,2
86.5,89.1,84.6,86,71.5,73.8,167.9,166.8,1.9,2
82.8,86.1,80.9,83,71.5,73.7,171.7,169.7,1.9,2
80.7,84.1,79,81.2,71.7,73.7,173.6,171.6,1.9,2
77.2,81.5,75.2,78.5,71.4,73.7,177.1,174.3,1.9,2
75.9,80.7,73.7,77.8,71.1,73.7,178.5,174.8,1.9,2
72.1,77.5,69.4,74.6,70.8,73.7,177.5,178.1,2,2
70.8,75,68.1,72.7,70.8,74.2,176.8,179.1,2,2
69.6,73.3,67,71,70.8,74.2,176,177,2,2
68.1,72.4,65.4,70.4,70.8,74,173.9,177.1,2,2
66,71,63.2,69,70.7,74,171.7,175.9,2,2
64.5,69.7,61.7,67.7,70.5,74,170.3,174.6,2,2
59.8,66.6,57.1,64.5,70.3,74,165.3,172,2,2
57.4,65.7,54.7,63.4,69.9,73.9,162.6,171.7,2,2
54.9,64.5,51.8,62.1,69.6,73.7,159.3,171.3,2,2
52.5,63.1,49.3,60.7,69.5,73.7,156.3,170.4,2.1,2
50.9,62.2,47.7,59.7,69.4,73.6,154.5,169.9,2.1,2
50,61.7,46.9,59.2,69.3,73.6,153.6,169.5,2.1,2
48,59.8,44.8,57.1,69.3,73.7,151.4,167.4,2.1,2
46.6,58.6,43,55.6,69.4,73.4,149.5,166.3,2.1,2
47.6,58.8,43.4,56,69.5,73.3,150.3,166.4,2,2
48,59.2,43.3,56.5,69.8,73,150,166.9,2,2
48.5,60.2,43.3,57.1,69.7,72.8,150.1,167.8,2,2
48.6,60.9,43.4,57.5,69.7,72.7,149.9,168.5,2,2
50.7,63.7,45.8,59.8,69.5,72.8,152.5,170.8,2,2
53.3,66.3,48.8,62.2,69.5,72.9,155.9,172.7,2,2
58.5,71,54.2,66.9,69.4,73.4,161.6,176.8,1.9,2
63.3,75.5,59.1,71.6,69.3,74,166.6,179.3,1.9,2
66.7,78.6,62.4,75.2,69.3,75.3,170.3,177.3,1.9,2
71.6,82.2,67.3,79.1,69.4,75.6,175.4,174,1.9,2
76.2,87.4,71.9,84.4,69.4,75.9,179.7,168.6,1.9,2
79.1,92.2,74.8,89,69.3,76.5,177.7,164.3,1.8,2
85.8,99.8,82,96,69.3,76.6,170.7,157.4,1.8,2
90.5,103,86.8,99.1,69.7,76.6,165.9,154.5,1.8,2
96.9,107.2,93.1,103.2,69.9,76.3,159.6,150.4,1.8,2
101.5,108.6,97.3,104.5,70.6,75.8,155.4,149.1,1.8,2
108.1,114.1,103.8,109.6,70.5,75.4,148.7,143.8,1.8,2
113.7,119.2,109.6,114.6,70.3,75.3,142.6,138.8,1.8,2
116.9,122.3,113.4,117.6,70.2,75.4,138.8,135.9,1.8,2
119.4,124.5,116.1,120.2,70,75.6,135.7,133.7,1.8,2
121.9,127,118.6,122.7,69.6,75.8,132.6,131.5,1.8,2
125.2,128.3,121,123.8,69.5,75,129.2,130.5,1.8,2
126.9,131.7,122.7,126.5,68.8,75.2,127.6,127.2,1.8,2
128.5,133.9,123.5,128.2,68.3,75,126.2,125.4,1.8,2
129.3,133.9,124,128.7,68.5,74.8,125.5,125.2,1.8,2
130,135,124.2,129.7,68.4,74.6,125.1,123.9,1.8,2
130.9,136.4,123.7,131.3,67.5,74.5,124.6,122.4,1.8,2
131.6,137.5,123.6,132.4,66.8,74.3,123.9,121.3,1.9,2
132.5,137.8,124.4,132.8,67.2,74.2,122.8,121.5,1.9,2
133.2,137.9,125.5,133.2,68,74,121.7,121.7,1.9,2
133.3,138,125.8,133.1,68.2,73.7,121.7,121.4,1.9,2
133.3,138.1,126.5,133.3,68.8,73.7,121.3,121.3,1.9,2
133.3,139.1,127.2,134.2,68.8,74,121.2,120.2,1.9,2
132.9,139.7,128.1,134.9,69.4,74.4,120.9,119.9,1.9,2
133,140.3,128.5,135.1,69.3,74.3,120.5,119.5,1.9,2
133.1,141.4,129.2,136,69.3,74.3,119.9,118.7,1.9,2
133.2,142.2,130,136.9,69.3,74.5,118.8,118.1,1.9,2
133.6,143.4,130.7,138.4,69.3,75,118,117.2,1.9,2
134.2,144.8,131.6,140.4,69.5,75.8,117.2,116,1.8,2
134.8,145.5,132.4,141.7,69.7,76.3,116.7,115.2,1.8,2
135.5,146.2,133.6,142.5,70.2,76.7,115.8,114.9,1.8,1
136,146.9,134.6,143.4,70.6,77.1,115.2,114.4,1.8,1
136.9,147.6,136,144,71.3,77.2,114.6,113.9,1.8,1
137.2,148.1,136.6,145,71.9,77.4,114.8,113,1.8,1
137.1,148.4,136.8,145.8,72.3,77.9,115,112.5,1.8,1
137.5,148.4,137.2,146.3,72.7,78.1,114.8,112.4,1.8,1
138.5,148.8,138.4,147,73,78.4,113.9,112.1,1.8,1
139.5,148.7,139.2,147.3,73.2,78.6,113.4,111.9,1.8,1
140.6,148.7,140.2,147.9,73.4,79.3,112.8,111.6,1.7,1
142.1,148.5,141.6,148.2,73.8,79.6,111.9,111.7,1.7,1
143.7,148.1,143.8,148.4,74.6,80,110.5,111.9,1.7,1
144.1,147.8,144.9,148.6,75,80.7,110.3,111.9,1.7,1
144.4,147.5,145.5,148.8,75.4,81,110.4,111.9,1.7,1
144.8,147.5,146.2,149.5,76,81.5,110,111.8,1.7,1
145.3,147.3,147.4,150,76.9,81.9,109.4,112,1.7,1
145.6,147.3,148.6,150.6,77.4,82.8,108.9,112.1,1.7,1
145.9,147.4,149.2,151,77.5,83.3,108.5,112.1,1.7,1
146.5,147.6,149.7,151.7,77.8,83.7,108.2,111.8,1.7,1
146.8,147.8,150.2,152.2,78.1,83.8,107.7,111.8,1.7,1
147.2,148.2,150.6,152.9,78.1,84.3,107.4,111.5,1.7,1
148.1,148.3,151.4,153.4,78.7,84.3,106.9,111.2,1.7,1
148.5,148.5,152,153.9,78.9,84.6,106.8,110.8,1.7,1
149.2,148.8,152.9,154.7,79.3,85,106.2,110.6,1.6,1
149.6,149.1,153.8,155.3,79.7,85.7,105.7,110.5,1.6,1
