back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,is_stand,is_back_front,is_knee_narrow,is_knee_wide
153.5624833,164.1806422,108.2406212,109.2919832,89.83503317,91.3485911,1,0,0,0
152.0644184,163.2002323,109.2745195,110.9419645,88.85191561,92.36897998,1,0,0,0
151.7057293,162.6351548,109.1192661,111.1628321,88.25347902,92.93256911,1,0,0,0
151.7307474,161.7520629,109.0259757,110.5402617,87.42080182,93.75802431,1,0,0,0
151.7554275,161.206072,107.8763137,109.4814455,86.87882935,94.3738343,1,0,0,0
152.0583771,161.1304308,107.8582758,109.2926985,86.76113618,94.6593907,1,0,0,0
151.9095791,160.9054456,108.0775579,109.3386881,86.25279626,95.24881498,1,0,0,0
151.2543468,160.0680555,107.9762266,108.6874788,85.733033,95.80827758,1,0,0,0
151.2987265,159.7810799,107.8302614,108.4702833,85.66541189,95.88351005,1,0,0,0
151.5837601,159.368516,107.7335447,107.9060397,86.05486479,95.49006071,1,0,0,0
151.6167901,159.2453105,107.4071195,107.2202824,86.34685951,95.19416233,1,0,0,0
152.2286883,159.3880016,107.3194045,106.6649955,86.69001757,94.83562282,1,0,0,0
153.2626886,159.6767124,107.1019223,105.9838332,87.29916913,94.22659394,1,0,0,0
153.5541017,159.8588066,107.0023203,105.8332722,87.45731694,94.07514175,1,0,0,0
153.6831702,160.0145214,106.8987611,105.659883,87.59161799,93.93637549,1,0,0,0
153.7909762,160.6266076,106.6367575,105.6011101,87.45669755,94.08229247,1,0,0,0
154.092923,161.4449007,106.2861848,105.2563807,87.44269295,94.08664357,1,0,0,0
154.3655009,161.8088722,106.1691775,105.009395,87.56385397,93.97532912,1,0,0,0
154.2748815,161.841445,105.9445161,104.7122992,87.65315595,93.85086445,1,0,0,0
154.2943513,161.6186456,105.7021997,104.2842422,88.08115007,93.39864428,1,0,0,0
153.6082062,162.9376074,106.2592477,106.9956551,85.76418024,95.79425573,1,0,0,0
153.8478625,163.8003538,106.8477614,108.5664661,84.60331306,97.06815359,1,0,0,0
156.4027343,164.8774493,107.89183,110.5382922,84.77406152,97.08034179,1,0,0,0
157.1859197,165.605137,108.3311047,111.5056952,84.5299883,97.47459799,1,0,0,0
157.0531282,166.024508,109.0270747,112.3914414,84.70092517,97.3410776,1,0,0,0
156.4185997,165.448498,109.1140295,112.5022074,84.77766462,96.8457233,1,0,0,0
155.3165982,165.3713706,109.3059164,113.0387764,84.30223349,96.94221862,1,0,0,0
155.6990425,164.727514,111.9661962,113.2538843,85.46727054,95.28239851,1,0,0,0
155.4221883,163.7554503,113.1943429,114.4738452,86.10969637,94.20040491,1,0,0,0
155.3897983,163.0308176,112.6516453,116.2178371,85.37774457,94.67000744,1,0,0,0
154.6430172,161.9946937,110.5896095,120.7195851,82.96758678,96.70757938,1,0,0,0
146.5692225,157.5440851,100.0403017,120.5031287,77.80250773,100.1905067,1,0,0,0
129.9067376,131.7581393,80.63516412,88.20201759,86.58006456,90.21222788,1,0,0,0
111.6087359,112.4417651,58.8929618,62.81254059,86.53103111,89.20318519,1,0,0,0
108.3989824,103.3454352,55.64743573,51.28121611,106.7755487,68.63448735,1,0,0,0
84.87685745,83.57379384,47.1642953,45.01689856,100.3089463,74.87784946,1,0,0,0
66.32737403,65.42062934,38.96460646,38.07808644,107.9334544,66.6095818,1,0,0,0
71.75121076,67.12246217,43.64356377,40.21766077,115.691085,58.5060961,1,0,0,0
66.19151437,63.09475907,40.37687427,40.70241269,104.7515217,68.48810713,1,0,0,0
72.27318593,67.2957334,40.61721879,37.84233593,111.0283597,61.9988486,1,0,0,0
76.0580854,68.33364905,38.29716957,33.72749255,121.9483739,52.29658668,1,0,0,0
76.96741394,71.64843855,35.77822203,32.10158536,118.9563148,54.73246827,1,0,0,0
74.59737768,72.70097255,34.21022335,32.77200521,103.8565954,68.4494275,1,0,0,0
78.38096025,78.66782292,31.12319108,31.25943858,101.4210124,70.56943379,1,0,0,0
82.46536174,85.48671321,29.58678445,30.48189553,97.98038857,73.89404084,0,0,0,0
81.5222565,86.63474184,28.20531821,30.00432004,92.45228195,78.58760517,0,0,0,0
83.24547376,87.80398976,28.61077928,30.57883908,88.1185919,81.50820811,0,0,0,0
85.04741136,90.25004402,26.56660099,29.47804665,88.70442644,79.82990749,0,0,0,0
82.25958615,85.47559228,25.04958192,27.41068713,92.8959981,75.39575953,0,0,0,0
81.22570644,83.32359016,24.66152975,26.34887654,96.06041653,70.95913311,0,0,0,0
77.1892269,79.57341372,23.58444932,24.35351738,97.05621739,69.30870182,0,0,0,0
74.82309048,76.6351426,22.63036399,23.64425488,91.87838491,73.71829624,0,0,0,0
73.36298523,76.0487783,22.29752136,23.57565271,92.23987084,72.19291401,0,0,0,0
