back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,is_stand,is_back_front,is_knee_narrow,is_knee_wide
147.9431211,153.4229997,112.1274176,113.53396,102.5338847,78.20054281,94.98753817,96.53232847,1,0,0,0
148.6606761,157.0894779,112.0326881,114.6006666,98.42414889,81.97696493,95.04594738,96.9574252,1,0,0,0
149.6804943,157.736235,111.8202493,114.1129611,97.57755524,82.72413204,95.81797567,97.0423972,1,0,0,0
150.3159795,158.0832613,111.373277,113.7507154,97.47924705,82.75901436,96.16227306,97.05468256,1,0,0,0
150.8812264,158.2362266,111.6127105,113.5226256,97.71391672,82.49711498,96.44316636,97.09455155,1,0,0,0
151.5525408,158.7165076,112.1986884,114.2023714,97.25911005,82.95975907,96.58661293,97.07812971,1,0,0,0
152.2485644,160.4999447,113.6906747,116.3295961,95.79085728,84.45728564,96.91612192,96.72365677,1,0,0,0
152.0790822,161.8265231,113.0855723,116.4990721,93.58521301,86.78021153,97.10051599,96.43865939,1,0,0,0
152.6845176,163.331447,112.4860762,116.0982332,91.23756216,89.31014374,97.41615065,96.08678583,1,0,0,0
152.4558558,162.8219417,112.0502003,115.7969794,89.80552536,90.91626069,97.59845063,95.72518826,1,0,0,0
152.6683628,163.1547471,111.4291701,115.5487844,89.88733103,91.01649898,97.38413961,95.54316682,1,0,0,0
152.5992237,161.5863956,111.1110776,113.9805682,91.16689629,89.78135107,97.25709638,95.52651814,1,0,0,0
152.7380135,161.2731508,110.7542935,113.3815355,91.26912362,89.58436193,97.19973374,95.64445534,1,0,0,0
153.017308,161.4908163,111.1914228,113.9150793,90.81483291,90.05730606,97.09029301,95.54060713,1,0,0,0
152.7058464,161.4261408,111.3713036,114.4729743,90.19096773,90.67356659,96.97530667,95.49999351,1,0,0,0
152.4415357,161.4480471,110.6417794,114.2553925,89.52821853,91.29739702,97.00852845,95.30092283,1,0,0,0
152.5731824,161.3878638,110.7578808,114.4899868,89.39042011,91.41672589,97.06883033,95.15280383,1,0,0,0
