right_shoulder_x,right_shoulder_y,right_shoulder_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_hip_x,right_hip_y,right_hip_z,left_hip_x,left_hip_y,left_hip_z,right_knee_x,right_knee_y,right_knee_z,left_knee_x,left_knee_y,left_knee_z,right_ankel_x,right_ankel_y,right_ankel_z,left_ankel_x,left_ankel_y,left_ankel_z,is_stand,is_back_front,is_knee_narrow,is_knee_wide
-1.376569391,-1.83616699,-0.382835054,0.260396522,-1.817726952,-0.625448466,-0.939048027,0.00540182662,0.343743544,0,0,0,-1.099264283,1.387626666,0.237298111,0.144121146,1.403147625,-0.096243912,-1.074312716,2.608041464,2.65822985,0.197947838,2.614536695,2.234533725,1,0,0,0
-1.400005083,-1.876950043,-0.302605539,0.264084756,-1.855551053,-0.444582372,-0.955146236,0.00813810733,0.296022699,0,0,0,-1.127055094,1.407882671,0.124950981,0.158275388,1.412138891,-0.111376172,-1.102000098,2.651534389,2.345851553,0.201763818,2.656978811,2.119885904,1,0,0,0
-1.416186634,-1.904976048,-0.291132229,0.265762829,-1.882682962,-0.391766482,-0.966144384,0.0115390011,0.257743828,0,0,0,-1.145741405,1.420967111,0.084373833,0.164076008,1.417015729,-0.129757186,-1.118105,2.678851361,2.344295866,0.204230719,2.684334287,2.118871238,1,0,0,0
-1.418564721,-1.91293895,-0.263084715,0.264944185,-1.89090493,-0.369843134,-0.968005019,0.0126496405,0.250611789,0,0,0,-1.153050945,1.421821128,0.0779789481,0.165305911,1.416965145,-0.135269267,-1.121904651,2.681435747,2.384042439,0.204821945,2.686946318,2.130988833,1,0,0,0
-1.421658416,-1.921218128,-0.260421867,0.26466282,-1.898829031,-0.358013811,-0.970324016,0.0130339479,0.241456872,0,0,0,-1.157434105,1.425340469,0.0796593408,0.167019169,1.418370488,-0.139367781,-1.1260396,2.68646148,2.407967992,0.20501616,2.691833656,2.139115224,1,0,0,0
-1.425002047,-1.928138224,-0.249924739,0.264935997,-1.906653206,-0.350448029,-0.972682434,0.012356496,0.231810699,0,0,0,-1.160653197,1.429557703,0.0789736365,0.169509004,1.420838019,-0.128142433,-1.129308319,2.693853206,2.392535177,0.207924273,2.698231146,2.136135659,1,0,0,0
-1.434512123,-1.93834247,-0.229077587,0.263163463,-1.918983007,-0.298305861,-0.976544501,0.0138158343,0.214871962,0,0,0,-1.167135024,1.43411223,0.0648301102,0.169693514,1.428458265,-0.106597722,-1.138104178,2.709590771,2.270364257,0.207570908,2.712989114,2.058096621,1,0,0,0
-1.454092733,-1.952090229,-0.206507668,0.256382029,-1.933465114,-0.226974019,-0.983847588,0.0147115531,0.178402616,0,0,0,-1.178652419,1.437628359,-0.00964538224,0.165099458,1.441565669,-0.123758545,-1.156933189,2.736045266,2.158840691,0.201105788,2.737594578,1.992137812,1,0,0,0
-1.475157615,-1.969556104,-0.169335502,0.249308058,-1.950930654,-0.130605358,-0.992503744,0.0144235975,0.121360117,0,0,0,-1.188918705,1.442666146,-0.102922406,0.159776547,1.455196771,-0.152242821,-1.177266006,2.76314398,2.037789256,0.194155225,2.764390186,1.931308062,1,0,0,0
-1.4853205,-1.974628214,-0.208861809,0.243576408,-1.956537905,-0.16180617,-0.996678054,0.0146681466,0.0801105562,0,0,0,-1.188599589,1.443647997,-0.157379565,0.156166787,1.458945213,-0.162509234,-1.18691984,2.77361147,1.996464551,0.188588806,2.773077308,1.922481516,1,0,0,0
