back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,label
117.7202844,110.4548696,76.62894291,74.5895532,82.83642973,92.22073852,107.4583168,102.0224799,0
117.8913134,109.9168387,79.1605879,76.70990696,82.70662326,91.41577799,107.5749038,101.9928574,0
108.5890619,108.6616203,74.68252236,79.73346217,76.54891128,97.38275393,108.2067991,103.1985991,0
102.6621607,104.4974559,72.91017784,78.59955706,75.31778291,98.72314145,108.5541772,103.2759196,0
103.1392821,104.0674348,71.94195433,78.25945102,75.71511081,98.43859209,107.7992232,104.5415034,0
101.9426819,101.8515441,70.11962889,74.81438732,77.62206626,96.56268231,106.882257,104.6716194,0
93.40228602,96.57090886,59.86535414,67.77401447,73.66876881,100.6412611,106.1772031,102.9007747,0
88.15635295,93.44750266,54.53116689,63.84803612,70.93488702,103.4419226,105.8427739,101.7457727,0
80.87617794,86.77501619,46.61312783,55.90768556,66.2697036,107.6201254,104.8802415,98.55298042,0
77.69439348,76.16797294,42.07634705,44.4539638,78.80115714,95.34931806,104.3326804,94.81489702,0
73.31106853,70.67157424,39.12800657,38.86766985,86.045952,88.02078593,103.1166978,93.67712413,0
70.91505089,69.06479806,37.57552927,37.46053005,86.52743438,87.54933884,101.9607348,94.74001537,0
71.52008947,70.06686886,33.87826235,33.91054651,87.14928359,87.14377864,100.6599541,94.77372891,0
72.14998539,70.0273526,33.81132338,33.15505375,89.59627425,84.66416117,100.1880046,95.57013542,0
72.48492179,72.35266048,32.63295919,34.88513571,79.98111634,94.10761381,100.3950272,96.29161288,0
72.24910452,72.12120351,32.40166809,35.05788968,78.43248753,95.61846855,101.3440386,95.69892125,0
70.7707137,71.07653119,29.99954714,32.59408642,77.56145332,96.66992762,101.4162764,94.66142434,0
71.75510565,71.57682695,29.52798216,30.514842,83.5687287,90.4723117,100.8679711,94.24274805,0
72.72229069,71.82461385,29.07026536,29.11211893,88.95435131,84.95056759,99.63472495,95.11475933,0
70.86625375,71.9560795,26.3145265,27.57807693,82.8674266,90.9475581,98.5222984,95.18190246,0
71.74704796,71.76661075,26.94122019,26.96067829,88.5817351,85.08504604,97.33505771,96.94172131,0
72.75052316,72.39072756,26.06716451,26.29585998,89.75748978,83.85229833,96.94998903,97.39225155,0
74.5254703,75.64994743,25.36212678,26.65536642,84.60599493,88.82535633,96.8461318,97.85028494,0
72.78242026,74.39641863,25.25842771,26.76354568,83.31415555,89.82997981,96.3878236,98.42006634,0
73.78082412,74.9443725,25.58014213,26.93454087,84.72802819,88.32456383,95.98191632,99.22785358,0
74.63964551,76.72330652,24.56651896,25.63529371,86.52202448,86.21263401,94.80980779,99.10152278,0
73.73799607,76.07614488,23.93185916,25.41414635,83.72375522,89.01192993,94.29056924,99.61753006,0
72.73154788,75.51353225,22.35448075,23.51138001,85.37062537,87.39912298,93.46325364,98.90838057,0
71.62729561,73.69660982,21.38756942,21.96242643,90.81922971,82.39988382,93.17729633,98.65099505,0
68.77282222,70.99478887,20.39636987,20.57164168,94.58332942,78.78410212,92.20786309,98.8299677,0
63.815878,65.75300327,20.01973346,20.14868634,93.67770309,79.67959706,91.86974968,99.02378033,1
60.80396199,62.33838726,19.13826217,19.45805123,92.36914693,81.1368229,90.90402581,99.54022291,1
59.70838945,61.62146605,18.71893939,18.97179636,91.07175562,82.39470743,90.45462529,99.74045901,1
56.67322517,59.11811833,18.37495339,18.81450044,85.66818053,87.58927,90.2732263,99.7516821,1
49.23820567,51.71945241,17.38163571,17.03111373,91.05403454,82.4774917,90.02524132,99.33360056,1
47.63728121,50.07264135,16.91498929,16.51369645,93.21203822,80.34335197,90.79897591,98.3931045,1
44.95780852,47.23206574,16.18906669,15.55727821,97.8238328,75.90276021,91.00992397,97.74133927,1
43.62117214,45.9052041,15.8223302,15.26751757,99.38585656,74.26271052,90.98534133,97.58204602,1
44.62847895,46.83435749,15.40640017,15.02641084,100.9339339,72.62310991,90.99443031,97.52613628,1
42.73116968,44.4166435,15.22620579,14.93720769,94.89852554,78.38769461,90.39369077,97.85961725,1
36.63412314,38.3949747,14.29754334,14.19075459,87.58321604,85.80060622,90.14792983,97.61378811,1
36.03793915,37.60173628,14.16333199,14.17007291,83.38844335,89.78483812,90.03634532,97.61442382,1
35.37930056,36.98105011,14.02852872,13.8897699,82.26192311,90.76613467,89.59285539,97.97491338,1
36.76429334,38.57373931,14.01332916,13.78412701,85.94959269,86.93601533,88.88230344,98.81742021,1
37.0148272,39.21024451,13.5484834,13.49907086,85.00636894,87.95141079,87.92664695,99.73673742,1
39.30323352,41.13386501,13.26727761,13.63536338,83.14369719,89.73195579,87.9903375,99.84078903,1
40.90693825,42.34269626,13.35708935,13.62767957,84.61873363,88.20986815,87.69811647,100.2408306,1
40.56834091,42.69213315,12.79958117,13.31338401,81.19432029,91.90709473,87.46090549,100.3295824,1
41.31227492,43.46168261,12.70023689,13.28894424,77.63356624,95.55279637,87.43374258,100.6613104,1
43.74333608,44.87233966,13.65825037,13.97215575,81.81429093,90.88447183,87.62679412,101.1789753,1
51.9308922,53.35402141,15.43130932,15.63990027,84.26450578,87.62595631,87.95859733,101.690946,1
61.55273902,62.69729388,16.2653099,16.34116277,85.00069881,86.35364635,88.03564512,102.0149425,1
64.31207816,64.6114469,17.02795766,17.25380468,86.20251552,84.66023026,87.92586228,102.2446149,1
65.915639,65.64544616,16.77611531,17.11651438,85.28481642,85.65358808,87.67746588,102.3483955,1
57.53946171,58.46014559,16.11199171,16.17497617,84.2693732,87.05184192,87.1288431,102.325396,1
62.31500405,62.92410387,18.33468378,17.43486143,87.9628829,82.26067964,87.60833217,102.6506481,1
58.583954,59.2408415,18.16626383,17.77325375,85.6392532,84.53079914,86.76153548,102.9245651,1
82.10050629,80.17452999,26.66172087,23.17838268,83.42558427,82.83229246,87.75424188,104.3043369,1
84.24208168,82.232726,23.31305404,21.62701996,82.32081891,85.43648766,87.456895,104.2006626,1
81.90572459,79.77276935,21.55420471,19.77742844,84.13226285,84.49174884,86.97037205,104.0945854,1
85.15288349,82.70695799,20.57349712,19.42231973,83.87179853,85.15656631,86.84194472,104.0417152,2
80.84915489,78.74511462,19.14862829,18.11199682,84.74336295,84.95425938,86.68890463,103.7903895,2
87.32251287,84.93575707,20.57695602,18.92567517,85.87605412,83.10635667,86.95623872,103.9812108,2
91.2186656,88.66530749,21.10821338,18.74647339,88.64371263,79.89470193,87.13664171,104.1597053,2
93.99340234,90.85098494,20.34492713,18.25502918,89.33937403,79.06898445,87.48167847,104.3195212,2
92.57326666,90.61251497,19.26739465,17.59241042,88.4730674,80.08018802,87.76381654,104.361662,2
92.09667568,90.49288394,20.02522922,17.9827937,90.84821598,76.96618241,88.24445722,104.6301387,2
93.84210743,92.15510117,18.57461314,17.28489589,91.81893763,76.61981455,88.45598863,104.6559639,2
95.13810937,93.16539952,18.31639095,17.25721392,92.65688976,75.56404116,88.77295539,104.8904715,2
93.99191304,92.73843904,19.20892084,18.23356713,92.20541008,75.11722131,89.32765102,105.3281148,2
92.19876373,90.98445514,21.00439957,19.49227714,89.44711326,76.57622814,89.84156327,106.1343309,2
92.68507609,90.9613923,19.93817721,18.30329516,91.26184974,75.11457966,89.59570743,105.9282787,2
91.76213913,90.06056443,20.59847854,18.78234751,89.94870168,75.61341411,89.6289252,106.1860611,2
94.38620491,93.2340806,19.49123746,17.81723677,90.54443229,75.42071446,89.36071303,106.0465436,2
95.5789271,95.77254957,19.08643735,17.40532918,91.39108228,74.40748252,89.38122683,106.1416595,2
94.93130402,94.52763669,18.75971302,17.22394041,87.10771654,78.65663697,89.16288569,106.1962554,2
96.91400631,96.08377705,17.58552475,15.84994045,87.80251064,78.5304569,88.8044448,105.9841123,2
96.62574454,94.89352709,16.40753125,14.9538007,82.74616424,84.25834773,88.44341545,105.4313946,2
96.38341077,94.64305849,16.744552,14.90407807,83.47033694,83.44355229,88.39666065,105.2158885,2
95.65868636,93.93184959,16.18258746,14.7102119,82.74113197,84.27866659,88.47873004,105.1574399,2
96.12950379,96.03679517,17.70100946,15.54619377,87.71736579,78.08276519,89.40828076,105.6776054,2
98.25294272,98.07760545,17.69512998,15.64106208,86.35432318,79.43671483,89.45283823,105.6746837,2
97.0609031,96.57562163,20.42296796,18.03208651,83.55465644,80.29628569,91.13604025,105.5219709,2
96.04375215,95.85945228,19.47167134,17.19886315,83.42788646,81.09927018,91.30715138,104.7201952,2
94.62170507,95.85716555,18.78421035,16.98504274,84.54618153,80.53277668,91.41256235,104.4382024,2
92.29719219,94.13796983,18.00008223,16.77993362,80.57896962,85.69520086,90.81940143,104.3132437,2
90.39666769,90.35724249,18.9868587,16.28237,84.05078547,82.64184791,90.06465544,104.0986173,2
81.35076438,81.2348758,18.00632375,15.5432332,84.39591399,83.25828351,88.23608071,105.0971033,2
76.21506925,76.54840515,18.2391143,15.95568693,86.07121563,81.7146924,88.01345068,105.0694812,2
75.7681794,77.47439904,18.86985509,16.61712015,85.52274029,82.22675588,88.04196231,105.0262578,2
75.52755197,77.89094727,19.41087707,17.49895281,83.94347473,83.87245304,88.26673002,104.9640084,2
74.63891062,77.65582932,19.30601082,17.60333961,82.1919838,86.32842488,88.74033917,103.6220616,2
