right_shoulder_x,right_shoulder_y,right_shoulder_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,right_hip_x,right_hip_y,right_hip_z,left_hip_x,left_hip_y,left_hip_z,right_knee_x,right_knee_y,right_knee_z,left_knee_x,left_knee_y,left_knee_z,right_ankle_x,right_ankle_y,right_ankle_z,left_ankle_x,left_ankle_y,left_ankle_z,label
-1.104863701,-0.941390106,1.380275138,0.405970466,-0.68772233,1.365926125,-0.999669356,1.22E-16,-0.0257134117,0,0,0,-1.229925138,-0.684412292,-1.018492159,0.383872396,-0.503896587,-1.010346985,-1.667113013,2.200911342,-1.904114371,-0.335374121,2.433243581,-1.88896078,0
-1.112329002,-0.943844811,1.387460651,0.408296925,-0.691999846,1.372440337,-0.999784779,5.02E-17,-0.0207459748,0,0,0,-1.235865779,-0.695701086,-1.013497449,0.382083991,-0.502588216,-1.015045501,-1.597373873,1.773792081,-1.900597581,-0.26474368,1.99301891,-1.891175131,0
-1.073081562,-1.1110034,1.39579848,0.456538234,-0.892775944,1.379420799,-0.999787807,1.47E-16,-0.0205995208,0,0,0,-1.251283182,-0.620303876,-1.004511467,0.408645336,-0.595089585,-1.009497376,-1.629892708,1.833926618,-1.886915924,-0.276030312,1.939097399,-1.882150002,0
-1.025697199,-1.286945624,1.406632883,0.50240591,-1.06970936,1.392483965,-0.999865996,1.35E-16,-0.0163704205,0,0,0,-1.257471173,-0.63073193,-0.993604076,0.417703483,-0.638580237,-1.003778247,-1.664524092,1.918246461,-1.874285418,-0.270161006,1.866612248,-1.87256212,0
-1.039451245,-1.315203261,1.417668575,0.473876469,-1.056493152,1.405317386,-0.999862219,3.86E-16,-0.016599509,0,0,0,-1.281801879,-0.622704096,-0.986893724,0.401290106,-0.653852561,-0.997526944,-1.646333456,1.984364514,-1.863508864,-0.249905352,1.940916397,-1.860996742,0
-1.076901003,-1.282457494,1.416294924,0.441278176,-1.052756164,1.409522399,-0.999903006,2.87E-16,-0.0139276383,0,0,0,-1.296817545,-0.687076355,-0.984338137,0.387123667,-0.713495598,-0.996305175,-1.586124873,2.005207624,-1.860529402,-0.182473422,1.910230207,-1.859534669,0
-1.090967115,-1.251185027,1.405631702,0.431016798,-1.033990551,1.404256627,-0.999899836,-8.26E-17,-0.0141534079,0,0,0,-1.281473324,-0.852460702,-0.98541226,0.426673809,-1.01482049,-0.990629742,-1.566959389,1.978896856,-1.854963723,-0.147318725,1.750538068,-1.854160715,0
-1.086171379,-1.249354617,1.396954238,0.436072354,-1.05615162,1.398044749,-0.999899614,2.71E-16,-0.0141690755,0,0,0,-1.2688453,-0.953969683,-0.986872778,0.455376237,-1.201003843,-0.98215266,-1.56602689,1.964221257,-1.843750887,-0.136009721,1.651922592,-1.842817606,0
-1.092487636,-1.172961512,1.389003593,0.432267033,-1.007780009,1.395196217,-0.999876766,2.81E-16,-0.0156987882,0,0,0,-1.224678141,-1.275313961,-0.977081591,0.530186808,-1.673600616,-0.968742399,-1.492046352,1.444693881,-1.830344691,-0.0429040926,1.007027509,-1.828711573,0
-1.094593991,-1.213080714,1.385951508,0.43034125,-1.042059005,1.396290811,-0.999941805,2.75E-16,-0.0107882558,0,0,0,-1.164872089,-1.848936782,-0.965873501,0.546739497,-1.8613955,-0.964228108,-1.430928986,1.111473971,-1.824042548,-0.0587995222,1.200710429,-1.820808517,0
-1.112881671,-1.23243015,1.379873032,0.42534734,-1.11517412,1.396034516,-0.999944678,-1.82E-17,-0.0105185903,0,0,0,-1.14985689,-2.300875126,-0.957637931,0.552284933,-2.118055801,-0.957531711,-1.366663857,0.744132833,-1.82022124,-0.00716198677,0.982429358,-1.817371383,0
-1.13496317,-1.263058039,1.383455465,0.410863876,-1.188522447,1.398456317,-0.999961332,2.75E-16,-0.00879402055,0,0,0,-1.203407163,-2.375677882,-0.944793884,0.520198789,-2.218438591,-0.95229804,-1.355333689,0.798888633,-1.812541926,0.0145862694,1.022514792,-1.810020489,0
-1.168570648,-1.118514327,1.386452098,0.384482377,-1.069619176,1.403973848,-0.999983745,2.32E-16,-0.00570165937,0,0,0,-1.231045165,-2.673945454,-0.934475812,0.514403629,-2.531634689,-0.947421045,-1.341263194,0.790385433,-1.809094046,0.036474068,1.005299836,-1.806426989,0
-1.182458536,-1.098908677,1.384787598,0.374079589,-1.059997535,1.407963918,-0.999992553,1.04E-16,-0.00385918941,0,0,0,-1.27471251,-2.701669756,-0.922580702,0.485445584,-2.506947799,-0.947988837,-1.338634177,0.887297705,-1.802532377,0.0469603237,1.105643831,-1.802196263,0
-1.175546637,-1.065200343,1.38256838,0.379610582,-1.02071302,1.405474219,-0.999996904,-4.94E-17,-0.00248819083,0,0,0,-1.288930139,-2.476372324,-0.922186082,0.507378904,-2.584103079,-0.94809648,-1.350728953,1.057181328,-1.791191685,0.0464591623,1.156657108,-1.789499394,0
-1.156925623,-1.076996915,1.376147597,0.395601502,-1.016013488,1.400010987,-0.999998739,1.42E-16,0.00158798259,0,0,0,-1.260039959,-2.425845702,-0.909045232,0.54508605,-2.5585417,-0.937027704,-1.371197235,1.115840633,-1.773832234,0.0285457315,1.189924581,-1.771171125,0
-1.147624082,-1.066748393,1.378583011,0.406762445,-1.012689699,1.400881999,-0.999999373,1.15E-16,0.00112005342,0,0,0,-1.227628829,-2.62589803,-0.908975333,0.589888306,-2.774684932,-0.930674123,-1.378697324,1.110669299,-1.755021622,0.0224378799,1.179571813,-1.750384979,0
