back_angle_R,back_angle_L,knee_angle_R,knee_angle_L,ankle_knee_knee_R,ankle_knee_knee_L,hip_hip_knee_R,hip_hip_knee_L,knee_knee_dis
168.0,155.9,177.3,172.4,93.1,89.2,89.5,97.6,1.1
167.3,156.6,176.2,172.7,94.8,88.9,90.1,97.0,1.1
166.7,157.5,176.0,173.3,95.3,88.9,90.5,96.4,1.1
166.5,157.8,175.8,173.7,95.8,88.9,90.7,96.1,1.1
166.5,157.9,175.4,173.8,96.1,88.9,90.7,96.1,1.1
166.4,158.0,175.4,173.9,96.4,88.8,90.8,95.9,1.1
166.1,158.3,175.5,174.2,96.8,88.6,91.1,95.6,1.1
165.6,158.6,176.0,174.4,96.9,88.5,91.6,95.3,1.1
165.0,159.2,176.5,174.8,96.8,88.5,92.2,94.8,1.1
164.4,159.4,177.0,175.3,96.6,89.0,92.5,94.8,1.1
163.8,159.7,177.4,175.7,96.5,89.3,92.9,94.6,1.1
163.4,159.9,177.8,175.9,96.3,89.5,93.3,94.5,1.2
163.2,160.4,178.1,176.1,96.0,89.8,93.6,94.1,1.1
163.1,160.9,178.2,176.4,95.7,89.8,93.7,93.7,1.1
162.8,161.4,178.3,176.6,95.7,89.9,94.0,93.3,1.1
162.7,161.7,178.4,176.8,95.7,90.0,94.1,93.1,1.1
162.7,161.8,178.5,176.9,95.5,90.1,94.2,93.1,1.1
162.6,161.9,178.6,177.1,95.4,90.4,94.2,93.0,1.1
162.6,162.0,178.6,177.5,95.3,90.8,94.2,93.0,1.1
162.7,162.0,178.5,177.8,95.1,91.3,94.0,93.1,1.1
162.3,162.1,178.7,178.0,95.1,91.5,94.2,93.1,1.1
162.0,162.0,179.4,178.1,95.0,91.3,94.5,93.1,1.1
161.8,162.2,179.5,178.3,95.1,91.3,94.6,93.0,1.1
162.0,162.1,179.5,178.5,95.0,91.5,94.3,93.2,1.1
161.7,161.9,179.8,178.7,94.4,91.9,94.4,93.4,1.2
161.5,161.6,179.1,179.5,94.1,92.6,94.7,93.4,1.2
161.6,160.9,177.7,179.9,93.1,93.4,95.0,93.9,1.2
162.5,160.2,177.8,179.6,92.8,94.3,94.5,94.3,1.2
161.9,159.6,176.6,179.1,92.0,95.3,95.1,94.7,1.2
161.3,158.7,175.0,179.7,91.0,95.5,96.0,95.2,1.2
161.0,157.8,173.8,179.7,89.8,95.8,96.4,95.6,1.2
160.4,157.3,172.7,178.9,88.6,96.0,96.9,96.1,1.2
160.1,156.8,171.7,178.0,87.5,96.1,97.2,96.8,1.3
160.1,156.4,171.4,178.0,86.5,97.4,97.4,97.1,1.3
160.2,155.8,170.1,177.4,85.8,97.1,97.9,97.5,1.3
160.0,155.5,169.0,177.3,85.6,97.0,98.5,97.8,1.3
159.0,154.4,166.8,174.8,84.9,95.5,99.3,99.4,1.3
158.1,153.5,166.1,172.3,84.7,94.4,100.1,100.7,1.4
157.0,153.2,164.8,170.7,84.6,93.5,101.2,101.4,1.4
156.9,152.7,163.9,169.5,84.0,93.3,101.3,102.4,1.4
157.0,151.7,163.7,167.5,84.2,92.1,101.5,103.6,1.4
156.7,150.9,162.8,165.8,84.5,90.4,102.1,104.3,1.5
156.0,150.1,161.4,163.3,84.1,89.1,102.9,105.6,1.5
155.7,149.4,160.2,162.6,83.4,89.0,103.5,106.1,1.5
154.7,148.4,159.0,161.6,83.0,89.1,104.2,107.4,1.5
154.4,147.7,157.5,160.5,82.2,88.6,104.7,108.2,1.5
154.3,147.2,157.1,159.6,82.0,88.5,104.7,109.0,1.6
153.5,147.3,156.2,159.8,81.4,89.0,105.2,109.1,1.6
152.4,147.0,154.8,160.0,80.7,89.7,105.9,109.7,1.6
152.1,147.1,153.3,160.0,79.8,89.8,106.7,109.6,1.6
152.3,147.1,152.6,159.8,79.7,89.2,107.1,109.4,1.6
152.1,147.1,151.6,159.9,79.4,89.2,107.8,109.3,1.6
151.5,147.2,149.9,159.8,78.4,89.5,108.8,109.4,1.6
